Bwd_Packet_Length_Min,Subflow_Fwd_Bytes,Total_Length_of_Fwd_Packets,Fwd_Packet_Length_Mean,Bwd_Packet_Length_Std,Flow_Duration,Flow_IAT_Std,Init_Win_bytes_forward,Bwd_Packets/s,PSH_Flag_Count,Average_Packet_Size,Label
0,26,26,8.666666667,2436.833027,33643,12356.47489,8192,148.6193265,1,1453.375,DDoS
0,30,30,6.0,0.0,11326939,5660822.969,256,0.0,0,7.2,DDoS
0,24,24,6.0,0.0,3225962,1854713.929,256,0.0,0,7.5,DDoS
0,363,363,121.0,3170.403917,148739,50864.11587,29200,33.61593126,1,1494.75,DoS Hulk
0,26,26,8.666666667,3802.315321,700948,264510.2181,8192,7.133196756,1,1454.125,DDoS
0,24,24,6.0,0.0,2925863,1688370.515,256,0.0,0,7.5,DDoS
0,26,26,8.666666667,3327.769794,1000802,377769.4342,8192,4.995993213,1,1454.125,DDoS
0,26,26,8.666666667,5795.50069,599990,244519.7369,8192,6.66677778,1,1661.857143,DDoS
0,367,367,61.16666667,1729.380148,98303093,27300000.0,0,0.081380959,0,854.8571429,DoS Hulk
0,30,30,6.0,0.0,8793763,4396210.192,256,0.0,0,7.2,DDoS
0,26,26,8.666666667,4128.319301,712527,285452.7071,8192,5.613822353,1,1661.0,DDoS
0,26,26,8.666666667,1495.722401,72381,21287.68925,8192,82.89468231,1,1291.888889,DDoS
0,26,26,8.666666667,3173.373883,926332,349315.6504,8192,5.397632814,1,1454.125,DDoS
0,421,421,84.2,1760.597234,84317313,25400000.0,0,0.083019723,0,1001.833333,DoS Hulk
0,56,56,7.0,4455.182578,72153909,19400000.0,256,0.069296315,0,897.6153846,DDoS
0,26,26,8.666666667,2137.29708,1293792,430865.8067,8192,5.410452376,1,1163.3,DDoS
0,0,0,0.0,0.0,3,0.0,274,0.0,0,0.0,DoS Hulk
57,82,82,41.0,0.0,151,81.11925378,-1,13245.03311,0,59.25,BENIGN
0,344,344,114.6666667,2196.731436,142608,48584.45859,29200,35.06114664,1,1492.375,DoS Hulk
0,1044,1044,174.0,2118.227235,1564325,286417.6408,29200,4.474773465,1,972.2307692,DoS Hulk
